url,Perfume,Brand,Gender,Rating,Decade,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
https://www.fragrantica.com/perfume/david-beckham/signature-story-for-him-6544.html,Signature Story For Him,David Beckham,male,3.81,2000s,"pineapple, violet leaf, basil","lavender, african orange flower, rosemary","incense, patchouli, virginia cedar",aromatic,amber,lavender,smoky,fresh spicy
https://www.fragrantica.com/perfume/everlast/black-33460.html,Black,Everlast,male,3.83,Unknown,"pepper, cardamom, cedar, freesia","incense, leather, guaiac wood, violet leaves","amber, citruses, patchouli, sandalowood, santolina",warm spicy,amber,woody,smoky,fresh spicy
https://www.fragrantica.com/perfume/molton-brown/russian-leather-48405.html,Russian Leather,Molton Brown,unisex,3.97,2010s,"black tea, elemi resin, basil","tobacco, birch, siberian pine","leather, cade oil, vetiver",aromatic,leather,woody,smoky,fresh spicy
https://www.fragrantica.com/perfume/miller-harris/la-fumee-ottoman-19515.html,La Fumee Ottoman,Miller Harris,unisex,4.27,2010s,"cumin, cardamom, rose, bergamot","incense, cedar, patchouli","amber, rose, fruits, vanilla, sandalwood, tonka bean",amber,warm spicy,woody,smoky,fresh spicy
https://www.fragrantica.com/perfume/yves-saint-laurent/elle-edition-collector-8083.html,Elle Edition Collector,Yves Saint Laurent,female,4.14,2010s,grapefruit,"jasmine, pink pepper","amber, benzoin",citrus,white floral,amber,soft spicy,fresh spicy
https://www.fragrantica.com/perfume/sapientiae-niche/above-all-62865.html,Above All,Sapientiae Niche,unisex,4.05,2010s,"bergamot, pink pepper",cedar,"ambergris, laotian oud, tonka bean",citrus,woody,amber,soft spicy,fresh spicy
https://www.fragrantica.com/perfume/adidas/adidas-originals-3159.html,Adidas Originals,Adidas,male,3.88,2000s,"coton candy, nutmeg, coriander","blue curacao, licorice, mint, lemon","vanilla, vetiver, woodsy notes",sweet,citrus,aromatic,soft spicy,fresh spicy
https://www.fragrantica.com/perfume/nicolai-parfumeur-createur/fig-tea-2037.html,Fig Tea,Nicolai Parfumeur Createur,female,3.87,2000s,"osmanthus, orange oil","jasmine, coriander, davana","mate, guaiac wood, amber",floral,fruity,aromatic,soft spicy,fresh spicy
https://www.fragrantica.com/perfume/mancera/cosmic-pepper-81804.html,Cosmic Pepper,Mancera,unisex,3.89,2020s,"lemon, pink pepper, sage, tangerine","black pepper, oud, damask rose","white musk, tonka bean, ambergris, oakmoss, labdanum",citrus,musky,aromatic,soft spicy,fresh spicy
https://www.fragrantica.com/perfume/karl-lagerfeld/bois-d-ambre-67805.html,Bois D Ambre,Karl Lagerfeld,male,3.95,2020s,bergamot,clary sage,amber,amber,aromatic,citrus,soft spicy,fresh spicy
https://www.fragrantica.com/perfume/the-house-of-oud/wind-heat-37822.html,Wind Heat,The House Of Oud,unisex,3.7,2010s,"pink pepper, bergamot, nutmeg","iris, virginia cedar","suede, musk, agarwood (oud), vetiver",musky,powdery,leather,soft spicy,fresh spicy
https://www.fragrantica.com/perfume/gallivant/abu-dhabi-76841.html,Abu Dhabi,Gallivant,unisex,3.8,2020s,"clary sage, cypress, pink pepper","saffron, geranium, orris root, rosemary","leather, cedar, patchouli",aromatic,woody,leather,soft spicy,fresh spicy
https://www.fragrantica.com/perfume/brecourt/contre-pouvoir-12122.html,Contre Pouvoir,Brecourt,male,4.14,2010s,"cardamom, bergamot, grapefruit","licorice, holly, elemi","vetiver, tobacco, amber, clover",aromatic,citrus,warm spicy,soft spicy,fresh spicy
https://www.fragrantica.com/perfume/azzaro/azzaro-sport-eau-de-toilette-73011.html,Azzaro Sport Eau De Toilette,Azzaro,male,3.8,2020s,grapefruit,clary sage,"sandalwood, tonka bean",aromatic,citrus,woody,soft spicy,fresh spicy
https://www.fragrantica.com/perfume/lacoste-fragrances/eau-de-lacoste-l-12-12-yellow-jaune-28608.html,Eau De Lacoste L 12 12 Yellow Jaune,Lacoste Fragrances,male,3.69,2010s,"tonic water, grapefruit, pink pepper","red apple, coriander","cypress, vetiver, amber",aromatic,citrus,woody,soft spicy,fresh spicy
https://www.fragrantica.com/perfume/korloff-paris/ultimate-man-46835.html,Ultimate Man,Korloff Paris,male,3.84,2010s,"bergamot, pink pepper, elemi resin, melon","sage, lavender, apple, geranium","vanilla, patchouli, cashmeran, vetiver",aromatic,herbal,woody,soft spicy,fresh spicy
https://www.fragrantica.com/perfume/mexx/mexx-fresh-man-13191.html,Mexx Fresh Man,Mexx,male,3.7,2010s,passionfruit,"nutmeg, coriander",amber,tropical,fruity,amber,sweet,fresh spicy
https://www.fragrantica.com/perfume/armaf/club-de-nuit-intense-man-limited-edition-parfum-77861.html,Club De Nuit Intense Man Limited Edition Parfum,Armaf,male,4.53,2020s,"lemon, pineapple, lime, black pepper, bergamot, pink pepper","jasmine, rose, freesia, lily-of-the-valley","white musk, ambroxan, ambergris, leather, cedar, patchouli",citrus,musky,amber,sweet,fresh spicy
